district_code,state_name,district_name,population,male,female,literate,workers,households,households_with_internet,households_with_electric_lighting,urban_households,rural_households,households_with_computer,lpg_or_png_households
481,GUJARAT,Bhavnagar,2880365,1490201,1390164,1887255,1150632,744077,7297,500757,356826,387251,28925,171327
482,GUJARAT,Anand,2092745,1087224,1005521,1551253,844794,621987,9902,378310,208909,413078,32523,147122
483,GUJARAT,Kheda,2299885,1185727,1114158,1660243,933983,622026,5710,372226,160547,461479,24502,99982
484,GUJARAT,Panch Mahals,2390776,1226961,1163815,1440805,1097507,567601,3456,398937,104238,463363,19753,59096
485,GUJARAT,Dohad,2127086,1068651,1058435,1007171,999124,376504,1733,241117,52807,323697,13497,28030
486,GUJARAT,Vadodara,4165626,2153736,2011890,2893080,1693473,1240425,53606,798277,692971,547454,117818,411734
487,GUJARAT,Narmada,590297,301086,289211,370336,294795,160369,576,101940,22248,138121,4081,12997
488,GUJARAT,Bharuch,1551019,805707,745312,1118276,627124,481996,10257,309091,181319,300677,29531,121542
489,GUJARAT,The Dangs,228291,113821,114470,140968,118257,59618,137,29794,7516,52102,1393,2029
490,GUJARAT,Navsari,1329672,678165,651507,1001909,591834,409156,6726,267679,141417,267739,24397,114620
491,GUJARAT,Valsad,1705678,887222,818456,1170657,743245,498391,11020,329218,235981,262410,31285,137209
492,GUJARAT,Surat,6081322,3402224,2679098,4571410,2553542,1899838,55694,1252452,1529998,369840,149331,815423
493,GUJARAT,Tapi,807022,402188,404834,490036,450902,218489,1601,142370,26217,192272,7567,27759
494,DAMAN AND DIU,Diu,52074,25642,26432,38058,15750,18850,368,10575,9062,9788,1055,6177
495,DAMAN AND DIU,Daman,191173,124659,66514,150348,105521,71079,1316,49249,61073,10006,4543,25844
496,DADRA AND NAGAR HAVELI,Dadra AND Nagar Haveli,343709,193760,149949,223230,157161,108783,2013,69558,60562,48221,6017,29101
497,MAHARASHTRA,Nandurbar,1648295,833170,815125,906509,792065,405012,2579,186202,71572,333440,17047,54335
